Time,hash_rate_via_BTC
2022-02-09,189714890.12531072
2022-02-10,189714890.12531072
2022-02-11,186124754.03821912
2022-02-12,186124754.03821912
2022-02-13,186124754.03821912
2022-02-14,186124754.03821912
2022-02-15,204894779.78420892
2022-02-16,204894779.78420892
2022-02-17,204894779.78420892
2022-02-18,204894779.78420892
2022-02-19,214208889.76468316
2022-02-20,214208889.76468316
2022-02-21,214208889.76468316
2022-02-22,214208889.76468316
2022-02-23,199456437.81206557
2022-02-24,199456437.81206557
2022-02-25,199456437.81206557
2022-02-26,199456437.81206557
2022-02-27,190663500.7762656
2022-02-28,190663500.7762656
2022-03-01,190663500.7762656
2022-03-02,190663500.7762656
2022-03-03,194437049.2291291
2022-03-04,194437049.2291291
2022-03-05,194437049.2291291
2022-03-06,194437049.2291291
2022-03-07,195932902.69002447
2022-03-08,195932902.69002447
2022-03-09,195932902.69002447
2022-03-10,195932902.69002447
2022-03-11,190169638.8688875
2022-03-12,190169638.8688875
2022-03-13,190169638.8688875
2022-03-14,190169638.8688875
2022-03-15,201321562.13589025
2022-03-16,201321562.13589025
2022-03-17,201321562.13589025
2022-03-18,201321562.13589025
2022-03-19,206471636.31633133
2022-03-20,206471636.31633133
2022-03-21,206471636.31633133
2022-03-22,206471636.31633133
2022-03-23,208395817.76893055
2022-03-24,208395817.76893055
2022-03-25,208395817.76893055
2022-03-26,208395817.76893055
2022-03-27,206846724.75080985
2022-03-28,206846724.75080985
2022-03-29,206846724.75080985
2022-03-30,206846724.75080985
2022-03-31,201972862.2449
2022-04-01,201972862.2449
2022-04-02,201972862.2449
2022-04-03,201972862.2449
2022-04-04,198753839.0238673
2022-04-05,198753839.0238673
2022-04-06,198753839.0238673
2022-04-07,198753839.0238673
2022-04-08,204228810.4583426
2022-04-09,204228810.4583426
2022-04-10,204228810.4583426
2022-04-11,204228810.4583426
2022-04-12,202401713.7445006
2022-04-13,202401713.7445006
2022-04-14,202401713.7445006
2022-04-15,202401713.7445006
2022-04-16,206231769.11502817
2022-04-17,206231769.11502817
2022-04-18,206231769.11502817
2022-04-19,206231769.11502817
2022-04-20,199524647.62317377
2022-04-21,199524647.62317377
2022-04-22,199524647.62317377
2022-04-23,199524647.62317377
2022-04-24,210467774.84148735
2022-04-25,210467774.84148735
2022-04-26,210467774.84148735
2022-04-27,210467774.84148735
2022-04-28,223151676.63397452
2022-04-29,223151676.63397452
2022-04-30,223151676.63397452
2022-05-01,223151676.63397452
2022-05-02,222006266.70131093
2022-05-03,222006266.70131093
2022-05-04,222006266.70131093
2022-05-05,222006266.70131093
2022-05-06,228510725.356766
2022-05-07,228510725.356766
2022-05-08,228510725.356766
2022-05-09,228510725.356766
2022-05-10,221740037.19804692
2022-05-11,221740037.19804692
2022-05-12,221740037.19804692
2022-05-13,221740037.19804692
2022-05-14,224124125.5157015
2022-05-15,224124125.5157015
2022-05-16,224124125.5157015
2022-05-17,224124125.5157015
2022-05-18,223260239.8804358
2022-05-19,223260239.8804358
2022-05-20,223260239.8804358
2022-05-21,223260239.8804358
2022-05-22,211276091.81528312
2022-05-23,211276091.81528312
2022-05-24,211276091.81528312
2022-05-25,211276091.81528312
2022-05-26,206058024.37013593
2022-05-27,206058024.37013593
2022-05-28,206058024.37013593
2022-05-29,206058024.37013593
2022-05-30,215833901.04285884
2022-05-31,215833901.04285884
2022-06-01,215833901.04285884
2022-06-02,215833901.04285884
2022-06-03,211466209.0959997
2022-06-04,211466209.0959997
2022-06-05,211466209.0959997
2022-06-06,211466209.0959997
2022-06-07,209130738.91522053
2022-06-08,209130738.91522053
2022-06-09,209130738.91522053
2022-06-10,209130738.91522053
2022-06-11,227821656.20112503
2022-06-12,227821656.20112503
2022-06-13,227821656.20112503
2022-06-14,227821656.20112503
2022-06-15,221500575.0286112
2022-06-16,221500575.0286112
2022-06-17,221500575.0286112
2022-06-18,221500575.0286112
2022-06-19,205163245.12925556
2022-06-20,205163245.12925556
2022-06-21,205163245.12925556
2022-06-22,205163245.12925556
2022-06-23,199225068.1313164
2022-06-24,199225068.1313164
2022-06-25,199225068.1313164
2022-06-26,199225068.1313164
2022-06-27,207951469.1457251
2022-06-28,207951469.1457251
2022-06-29,207951469.1457251
2022-06-30,207951469.1457251
2022-07-01,214611394.1624176
2022-07-02,214611394.1624176
2022-07-03,214611394.1624176
2022-07-04,214611394.1624176
2022-07-05,217971259.43306217
2022-07-06,217971259.43306217
2022-07-07,217971259.43306217
2022-07-08,217971259.43306217
2022-07-09,206150660.12152672
2022-07-10,206150660.12152672
2022-07-11,206150660.12152672
2022-07-12,206150660.12152672
2022-07-13,205957831.904181
2022-07-14,205957831.904181
2022-07-15,205957831.904181
2022-07-16,205957831.904181
2022-07-17,196883286.89226907
