"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2021","166.22","166.14","166.80","165.93","4.81M","-0.25%"
"12/03/2021","166.63","165.49","166.93","165.00","9.51M","0.84%"
"12/02/2021","165.24","165.93","165.93","164.63","9.60M","-0.55%"
"12/01/2021","166.16","166.79","167.47","166.06","7.83M","0.40%"
"11/30/2021","165.50","167.84","169.01","165.37","12.93M","-0.67%"
"11/29/2021","166.62","166.83","167.24","166.51","7.39M","-0.14%"
"11/26/2021","166.85","168.60","168.64","166.37","9.60M","-0.16%"
"11/24/2021","167.12","166.58","167.44","166.32","5.36M","-0.10%"
"11/23/2021","167.28","167.24","167.59","166.55","8.05M","-0.87%"
"11/22/2021","168.74","169.82","170.43","168.44","13.10M","-2.24%"
"11/19/2021","172.61","173.69","174.10","172.24","8.79M","-0.76%"
"11/18/2021","173.94","173.96","174.36","173.53","6.25M","-0.32%"
"11/17/2021","174.50","174.24","174.60","173.89","6.47M","0.91%"
"11/16/2021","172.92","174.00","174.47","172.87","8.67M","-0.72%"
"11/15/2021","174.18","174.13","174.58","173.70","5.63M","-0.15%"
"11/12/2021","174.45","173.51","174.67","173.40","7.89M","0.19%"
"11/11/2021","174.12","173.98","174.27","173.74","5.94M","0.56%"
"11/10/2021","173.15","173.65","174.64","172.13","11.46M","1.09%"
"11/09/2021","171.29","170.74","171.30","170.16","5.78M","0.49%"
"11/08/2021","170.45","170.42","170.69","170.06","4.97M","0.36%"
"11/05/2021","169.84","168.42","169.94","167.85","9.37M","1.31%"
"11/04/2021","167.65","167.51","168.14","167.38","6.66M","1.13%"
"11/03/2021","165.77","165.29","165.93","164.43","9.06M","-0.83%"
"11/02/2021","167.16","167.43","167.62","166.97","3.76M","-0.21%"
"11/01/2021","167.52","167.40","167.84","166.91","4.98M","0.52%"
"10/29/2021","166.65","166.29","166.73","165.64","7.53M","-0.85%"
"10/28/2021","168.08","169.01","169.25","167.55","7.00M","-0.02%"
"10/27/2021","168.12","167.72","168.19","166.86","5.82M","0.26%"
"10/26/2021","167.68","167.87","167.87","166.63","6.66M","-0.74%"
