Time,Mempool_size
2021-12-28,14762234.052083334
2021-12-29,14762234.052083334
2021-12-30,7716811.578125
2021-12-31,7716811.578125
2022-01-01,1986060.5572916667
2022-01-02,1986060.5572916667
2022-01-03,2149204.6822916665
2022-01-04,2149204.6822916665
2022-01-05,3209946.9479166665
2022-01-06,3209946.9479166665
2022-01-07,3209946.9479166665
2022-01-08,4422878.151041667
2022-01-09,4422878.151041667
2022-01-10,718705.203125
2022-01-11,718705.203125
2022-01-12,2065774.15625
2022-01-13,2065774.15625
2022-01-14,1973288.9375
2022-01-15,1973288.9375
2022-01-16,905690.7447916666
2022-01-17,905690.7447916666
2022-01-18,2277577.3333333335
2022-01-19,2277577.3333333335
2022-01-20,2277577.3333333335
2022-01-21,2266746.6822916665
2022-01-22,2266746.6822916665
2022-01-23,2710190.6510416665
2022-01-24,2710190.6510416665
2022-01-25,2649136.3854166665
2022-01-26,2649136.3854166665
2022-01-27,4759514.744791667
2022-01-28,4759514.744791667
2022-01-29,1837233.390625
2022-01-30,1837233.390625
2022-01-31,10714565.28125
2022-02-01,10714565.28125
2022-02-02,10714565.28125
2022-02-03,1839758.6354166667
2022-02-04,1839758.6354166667
2022-02-05,20688506.916666668
2022-02-06,20688506.916666668
2022-02-07,1199810.7083333333
2022-02-08,1199810.7083333333
2022-02-09,6227775.046875
2022-02-10,6227775.046875
2022-02-11,33519047.442708332
2022-02-12,33519047.442708332
2022-02-13,804283.7291666666
2022-02-14,804283.7291666666
2022-02-15,804283.7291666666
2022-02-16,2213389.5885416665
2022-02-17,2213389.5885416665
2022-02-18,2532432.96875
2022-02-19,2532432.96875
2022-02-20,999102.90625
2022-02-21,999102.90625
2022-02-22,3603055.8020833335
2022-02-23,3603055.8020833335
2022-02-24,2495785.921875
2022-02-25,2495785.921875
2022-02-26,1303763.1875
2022-02-27,1303763.1875
2022-02-28,1303763.1875
2022-03-01,2282043.6458333335
2022-03-02,2282043.6458333335
2022-03-03,6229912.46875
2022-03-04,6229912.46875
2022-03-05,3674094.0104166665
2022-03-06,3674094.0104166665
2022-03-07,1136514.0416666667
2022-03-08,1136514.0416666667
2022-03-09,4426107.963541667
2022-03-10,4426107.963541667
2022-03-11,3067517.0989583335
2022-03-12,3067517.0989583335
2022-03-13,3067517.0989583335
2022-03-14,882457.1145833334
2022-03-15,882457.1145833334
2022-03-16,1822144.0052083333
2022-03-17,1822144.0052083333
